midToto,hru,mLayerVolFracLiq,mLayerVolFracIce,mLayerTemp,mLayerMatricHead,mLayerDepth
1,1,0.29,0,288.5,-100,0.025
1,2,0.29,0,288.5,-100,0.025
1,3,0.29,0,288.5,-100,0.025
1,4,0.29,0,288.5,-100,0.025
1,5,0.29,0,288.5,-100,0.025
1,6,0.29,0,288.5,-100,0.025
2,1,0.29,0,288.5,-100,0.075
2,2,0.29,0,288.5,-100,0.075
2,3,0.29,0,288.5,-100,0.075
2,4,0.29,0,288.5,-100,0.075
2,5,0.29,0,288.5,-100,0.075
2,6,0.29,0,288.5,-100,0.075
3,1,0.29,0,288.5,-100,0.15
3,2,0.29,0,288.5,-100,0.15
3,3,0.29,0,288.5,-100,0.15
3,4,0.29,0,288.5,-100,0.15
3,5,0.29,0,288.5,-100,0.15
3,6,0.29,0,288.5,-100,0.15
4,1,0.29,0,288.5,-100,0.25
4,2,0.29,0,288.5,-100,0.25
4,3,0.29,0,288.5,-100,0.25
4,4,0.29,0,288.5,-100,0.25
4,5,0.29,0,288.5,-100,0.25
4,6,0.29,0,288.5,-100,0.25
5,1,0.29,0,288.5,-100,0.5
5,2,0.29,0,288.5,-100,0.5
5,3,0.29,0,288.5,-100,0.5
5,4,0.29,0,288.5,-100,0.5
5,5,0.29,0,288.5,-100,0.5
5,6,0.29,0,288.5,-100,0.5
6,1,0.29,0,288.5,-100,0.5
6,2,0.29,0,288.5,-100,0.5
6,3,0.29,0,288.5,-100,0.5
6,4,0.29,0,288.5,-100,0.5
6,5,0.29,0,288.5,-100,0.5
6,6,0.29,0,288.5,-100,0.5
7,1,0.29,0,288.5,-100,1
7,2,0.29,0,288.5,-100,1
7,3,0.29,0,288.5,-100,1
7,4,0.29,0,288.5,-100,1
7,5,0.29,0,288.5,-100,1
7,6,0.29,0,288.5,-100,1
8,1,0.29,0,288.5,-100,1.5
8,2,0.29,0,288.5,-100,1.5
8,3,0.29,0,288.5,-100,1.5
8,4,0.29,0,288.5,-100,1.5
8,5,0.29,0,288.5,-100,1.5
8,6,0.29,0,288.5,-100,1.5
